time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.0;videos/cuts_test/50wtf1.mp4;walk;(487.5, 97.25);(495.25, 91.12);(480.0, 91.12);(505.25, 101.5);(469.25, 100.38);(525.5, 150.75);(450.75, 151.75);(537.0, 210.25);(440.5, 211.25);(532.0, 262.0);(442.0, 262.5);(512.0, 264.75);(464.0, 264.75);(511.25, 354.75);(466.25, 354.5);(508.25, 437.5);(472.0, 437.0)
0.04;videos/cuts_test/50wtf1.mp4;walk;(487.5, 97.12);(495.25, 91.12);(480.0, 90.88);(505.5, 101.25);(469.25, 100.25);(525.5, 150.75);(450.75, 151.75);(537.0, 210.25);(440.25, 211.25);(532.0, 262.0);(442.0, 262.5);(512.0, 264.75);(464.0, 264.75);(511.25, 354.75);(466.25, 354.25);(508.0, 437.5);(472.0, 436.75)
0.08;videos/cuts_test/50wtf1.mp4;walk;(487.5, 97.0);(495.25, 90.88);(480.0, 90.88);(505.5, 101.25);(469.25, 100.12);(525.5, 150.62);(450.75, 151.62);(537.0, 210.25);(440.25, 211.25);(532.0, 262.0);(441.75, 262.5);(512.0, 264.5);(463.75, 264.5);(511.25, 354.5);(466.25, 354.25);(508.0, 437.5);(472.0, 436.75)
0.13;videos/cuts_test/50wtf1.mp4;walk;(487.5, 96.75);(495.5, 90.75);(480.0, 90.75);(505.5, 101.25);(469.25, 100.0);(525.5, 150.5);(450.75, 151.38);(537.0, 210.25);(440.0, 211.0);(532.0, 262.0);(441.75, 262.25);(512.0, 264.5);(463.75, 264.5);(511.25, 354.5);(466.25, 354.0);(508.0, 437.5);(472.0, 436.75)
0.17;videos/cuts_test/50wtf1.mp4;walk;(487.5, 96.62);(495.5, 90.75);(480.0, 90.62);(505.5, 101.12);(469.5, 100.0);(525.5, 150.5);(450.75, 151.38);(537.0, 210.25);(440.0, 211.0);(532.0, 262.0);(441.75, 262.25);(512.0, 264.75);(463.75, 264.75);(511.25, 354.75);(466.25, 354.25);(508.25, 437.5);(472.0, 436.75)
0.21;videos/cuts_test/50wtf1.mp4;walk;(487.75, 96.5);(495.5, 90.62);(480.0, 90.5);(505.5, 101.0);(469.5, 100.0);(525.5, 150.5);(450.5, 151.38);(537.0, 210.25);(440.0, 211.0);(532.0, 262.25);(441.75, 262.25);(512.0, 264.75);(463.75, 264.5);(511.25, 354.75);(466.25, 354.25);(508.25, 437.5);(472.0, 436.75)
0.25;videos/cuts_test/50wtf1.mp4;walk;(487.75, 96.38);(495.5, 90.5);(480.25, 90.38);(505.75, 101.0);(469.5, 99.88);(525.5, 150.5);(450.5, 151.5);(537.0, 210.38);(439.75, 211.12);(532.0, 262.25);(441.75, 262.5);(512.0, 265.0);(463.75, 264.75);(511.25, 355.0);(466.25, 354.5);(508.25, 437.5);(472.0, 437.0)
0.29;videos/cuts_test/50wtf1.mp4;walk;(487.75, 96.25);(495.5, 90.38);(480.25, 90.25);(505.75, 101.0);(469.5, 99.88);(525.5, 150.62);(450.5, 151.5);(537.0, 210.62);(439.5, 211.12);(531.5, 262.5);(441.5, 262.25);(511.75, 265.0);(463.75, 265.0);(511.25, 354.75);(466.25, 354.5);(508.25, 437.5);(472.0, 437.0)
0.33;videos/cuts_test/50wtf1.mp4;walk;(487.75, 96.25);(495.5, 90.25);(480.0, 90.12);(505.75, 100.75);(469.5, 99.75);(525.5, 150.62);(450.5, 151.5);(537.0, 210.62);(439.5, 211.25);(531.5, 262.5);(441.5, 262.5);(511.75, 265.0);(463.5, 265.0);(511.25, 354.75);(466.25, 354.5);(508.25, 437.5);(472.0, 437.0)
0.38;videos/cuts_test/50wtf1.mp4;walk;(487.75, 96.12);(495.5, 90.12);(480.0, 90.12);(505.75, 100.62);(469.5, 99.62);(525.5, 150.62);(450.5, 151.5);(537.0, 210.75);(439.25, 211.38);(531.5, 262.75);(441.5, 262.5);(511.5, 265.0);(463.5, 265.0);(511.0, 355.0);(466.0, 354.5);(508.25, 437.5);(472.0, 437.0)
